info,dateInfo,home,result,away
AUDI FOOTBALL SUMMIT 1. SPIELTAG,SA | 21.07.2018 | 4:05 Uhr,FC Bayern Muenchen,3:1,Paris Saint-Germain
INTERNATIONAL CHAMPIONS CUP ICC,DO | 26.07.2018 | 1:00 Uhr,Juventus Turin,2:0,FC Bayern Muenchen
AUDI FOOTBALL SUMMIT 2. SPIELTAG,SO | 29.07.2018 | 1:00 Uhr,FC Bayern Muenchen,2:3,Manchester City
FREUNDSCHAFTSSPIEL 1,SO | 05.08.2018 | 8:15 Uhr,FC Bayern Muenchen,1:0,Manchester United
FREUNDSCHAFTSSPIEL,MI | 08.08.2018 | 5:30 Uhr,FC Rottach-Egern,2:20,FC Bayern Muenchen
SUPERCUP FINALE,SO | 12.08.2018 | 8:30 Uhr,Eintracht Frankfurt,0:5,FC Bayern Muenchen
FREUNDSCHAFTSSPIEL 1,MI | 15.08.2018 | 6:00 Uhr,Hamburger SV,1:4,FC Bayern Muenchen
DFB-POKAL 1. RUNDE,SA | 18.08.2018 | 3:30 Uhr,SV Drochtersen/Assel,0:1,FC Bayern Muenchen
BUNDESLIGA 1. SPIELTAG,FR | 24.08.2018 | 8:30 Uhr,FC Bayern Muenchen,3:1,TSG 1899 Hoffenheim
FREUNDSCHAFTSSPIEL 1,DI | 28.08.2018 | 8:30 Uhr,FC Bayern Muenchen,4:0,Chicago Fire
BUNDESLIGA 2. SPIELTAG,SA | 01.09.2018 | 6:30 Uhr,VfB Stuttgart,0:3,FC Bayern Muenchen
BUNDESLIGA 3. SPIELTAG,SA | 15.09.2018 | 3:30 Uhr,FC Bayern Muenchen,3:1,Bayer 04 Leverkusen
CHAMPIONS LEAGUE 1. SPIELTAG,MI | 19.09.2018 | 9:00 Uhr,Benfica Lissabon,0:2,FC Bayern Muenchen
BUNDESLIGA 4. SPIELTAG,SA | 22.09.2018 | 6:30 Uhr,FC Schalke 04,0:2,FC Bayern Muenchen
BUNDESLIGA 5. SPIELTAG,DI | 25.09.2018 | 8:30 Uhr,FC Bayern Muenchen,1:1,FC Augsburg
BUNDESLIGA 6. SPIELTAG,FR | 28.09.2018 | 8:30 Uhr,Hertha BSC,2:0,FC Bayern Muenchen
CHAMPIONS LEAGUE 2. SPIELTAG,DI | 02.10.2018 | 9:00 Uhr,FC Bayern Muenchen,1:1,Ajax Amsterdam
BUNDESLIGA 7. SPIELTAG,SA | 06.10.2018 | 6:30 Uhr,FC Bayern Muenchen,0:3,Borussia Moenchengladbach
BUNDESLIGA 8. SPIELTAG,SA | 20.10.2018 | 3:30 Uhr,VfL Wolfsburg,1:3,FC Bayern Muenchen
CHAMPIONS LEAGUE 3. SPIELTAG,DI | 23.10.2018 | 6:55 Uhr,AEK Athen,0:2,FC Bayern Muenchen
BUNDESLIGA 9. SPIELTAG,SA | 27.10.2018 | 3:30 Uhr,1. FSV Mainz 05,1:2,FC Bayern Muenchen
DFB-POKAL 2. RUNDE,DI | 30.10.2018 | 8:45 Uhr,SV Roedinghausen e.V.,1:2,FC Bayern Muenchen
BUNDESLIGA 10. SPIELTAG,SA | 03.11.2018 | 3:30 Uhr,FC Bayern Muenchen,1:1,SC Freiburg
CHAMPIONS LEAGUE 4. SPIELTAG,MI | 07.11.2018 | 9:00 Uhr,FC Bayern Muenchen,2:0,AEK Athen
BUNDESLIGA 11. SPIELTAG,SA | 10.11.2018 | 6:30 Uhr,Borussia Dortmund,3:2,FC Bayern Muenchen
BUNDESLIGA 12. SPIELTAG,SA | 24.11.2018 | 3:30 Uhr,FC Bayern Muenchen,3:3,Fortuna Duesseldorf
CHAMPIONS LEAGUE 5. SPIELTAG,DI | 27.11.2018 | 9:00 Uhr,FC Bayern Muenchen,5:1,Benfica Lissabon
BUNDESLIGA 13. SPIELTAG,SA | 01.12.2018 | 3:30 Uhr,SV Werder Bremen,1:2,FC Bayern Muenchen
BUNDESLIGA 14. SPIELTAG,SA | 08.12.2018 | 3:30 Uhr,FC Bayern Muenchen,3:0,1. FC Nuernberg
CHAMPIONS LEAGUE 6. SPIELTAG,MI | 12.12.2018 | 9:00 Uhr,Ajax Amsterdam,3:3,FC Bayern Muenchen
BUNDESLIGA 15. SPIELTAG,SA | 15.12.2018 | 3:30 Uhr,Hannover 96,0:4,FC Bayern Muenchen
BUNDESLIGA 16. SPIELTAG,MI | 19.12.2018 | 8:30 Uhr,FC Bayern Muenchen,1:0,RB Leipzig
BUNDESLIGA 17. SPIELTAG,SA | 22.12.2018 | 6:30 Uhr,Eintracht Frankfurt,0:3,FC Bayern Muenchen
BUNDESLIGA 18. SPIELTAG,FR | 18.01.2019 | 8:30 Uhr,TSG 1899 Hoffenheim,1:3,FC Bayern Muenchen
BUNDESLIGA 19. SPIELTAG,SO | 27.01.2019 | 3:30 Uhr,FC Bayern Muenchen,4:1,VfB Stuttgart
BUNDESLIGA 20. SPIELTAG,SA | 02.02.2019 | 3:30 Uhr,Bayer 04 Leverkusen,3:1,FC Bayern Muenchen
BUNDESLIGA 21. SPIELTAG,SA | 09.02.2019 | 6:30 Uhr,FC Bayern Muenchen,3:1,FC Schalke 04
BUNDESLIGA 22. SPIELTAG,FR | 15.02.2019 | 8:30 Uhr,FC Augsburg,2:3,FC Bayern Muenchen
CHAMPIONS LEAGUE ACHTELFINALE HINSPIEL,DI | 19.02.2019 | 9:00 Uhr,FC Liverpool,0:0,FC Bayern Muenchen
BUNDESLIGA 23. SPIELTAG,SA | 23.02.2019 | 3:30 Uhr,FC Bayern Muenchen,1:0,Hertha BSC
BUNDESLIGA 24. SPIELTAG,SA | 02.03.2019 | 6:30 Uhr,Borussia Moenchengladbach,1:5,FC Bayern Muenchen
BUNDESLIGA 25. SPIELTAG,SA | 09.03.2019 | 3:30 Uhr,FC Bayern Muenchen,6:0,VfL Wolfsburg
CHAMPIONS LEAGUE ACHTELFINALE RÃœCKSPIEL,MI | 13.03.2019 | 9:00 Uhr,FC Bayern Muenchen,1:3,FC Liverpool
BUNDESLIGA 26. SPIELTAG,SO | 17.03.2019 | 6:00 Uhr,FC Bayern Muenchen,6:0,1. FSV Mainz 05
BUNDESLIGA 27. SPIELTAG,SA | 30.03.2019 | 3:30 Uhr,SC Freiburg,1:1,FC Bayern Muenchen
DFB-POKAL VIERTELFINALE,MI | 03.04.2019 | 6:30 Uhr,FC Bayern Muenchen,5:4,1. FC Heidenheim 1846
BUNDESLIGA 28. SPIELTAG,SA | 06.04.2019 | 6:30 Uhr,FC Bayern Muenchen,5:0,Borussia Dortmund
BUNDESLIGA 29. SPIELTAG,SO | 14.04.2019 | 3:30 Uhr,Fortuna Duesseldorf,1:4,FC Bayern Muenchen
BUNDESLIGA 30. SPIELTAG,SA | 20.04.2019 | 3:30 Uhr,FC Bayern Muenchen,1:0,SV Werder Bremen
DFB-POKAL HALBFINALE,MI | 24.04.2019 | 8:45 Uhr,SV Werder Bremen,2:3,FC Bayern Muenchen
BUNDESLIGA 31. SPIELTAG,SO | 28.04.2019 | 6:00 Uhr,1. FC Nuernberg,1:1,FC Bayern Muenchen
